สาขา,เลขที่เอกสาร,รหัสสินค้า,รายการขาย,ยอดรวม,ส่วนลดรายการ,ยอดสุทธิ,ส่วนลดโปรโมชั่น,ส่วนลดบัตรกำนัล,ส่วนลดท้ายบิล,ยอดบิลสุทธิ
001 / สนามบินดอนเมือง,ABB-001-2602/00008,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00009,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00010,1. APP004,Kani Tataki(หน่วย),110,0,110,0,0,0,310
,,2. MINI009,Sushi Bento Super Maki S(หน่วย),200,0,200,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00011,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00012,1. BEV007,ITOEN Elegant Jasmine Green Tea (Bottle) 500 ml.(หน่วย),50,0,50,0,0,0,50
001 / สนามบินดอนเมือง,ABB-001-2602/00013,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00014,1. MINI014,Sushi Moriawase Set(หน่วย),220,0,220,0,0,0,220
001 / สนามบินดอนเมือง,ABB-001-2602/00015,1. MINI007,Sushi Bento Veggie 1(หน่วย),175,0,175,0,0,0,175
001 / สนามบินดอนเมือง,ABB-001-2602/00016,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),30,0,30,0,0,0,30
001 / สนามบินดอนเมือง,ABB-001-2602/00017,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00018,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00019,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),20,0,20,0,0,0,20
001 / สนามบินดอนเมือง,ABB-001-2602/00020,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),20,0,20,0,0,0,20
001 / สนามบินดอนเมือง,ABB-001-2602/00021,1. MINI001,Salmon Sushi 7 pcs.(หน่วย),210,0,210,0,0,0,260
,,2. BEV007,ITOEN Elegant Jasmine Green Tea (Bottle) 500 ml.(หน่วย),50,0,50,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00022,1. MINI014,Sushi Moriawase Set(หน่วย),220,0,220,0,0,0,220
001 / สนามบินดอนเมือง,ABB-001-2602/00023,1. DON011,Chirashi Don(หน่วย),310,0,310,0,0,0,310
001 / สนามบินดอนเมือง,ABB-001-2602/00024,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00025,1. MINI002,Salmon Aburi Sushi 7 pcs.(หน่วย),230,0,230,0,0,0,230
001 / สนามบินดอนเมือง,ABB-001-2602/00026,1. MINI009,Sushi Bento Super Maki S(หน่วย),400,0,400,0,0,0,400
001 / สนามบินดอนเมือง,ABB-001-2602/00027,1. MINI002,Salmon Aburi Sushi 7 pcs.(หน่วย),230,0,230,0,0,0,230
001 / สนามบินดอนเมือง,ABB-001-2602/00028,1. DON015,Salmon Teriyaki Don(หน่วย),250,0,250,0,0,0,250
001 / สนามบินดอนเมือง,ABB-001-2602/00029,1. DON013,Torikatsu Curry Don(หน่วย),240,0,240,0,0,0,240
001 / สนามบินดอนเมือง,ABB-001-2602/00030,1. MINI001,Salmon Sushi 7 pcs.(หน่วย),210,0,210,0,0,0,210
001 / สนามบินดอนเมือง,ABB-001-2602/00031,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00032,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00033,1. APP003,Salmon Tataki(หน่วย),140,0,140,14,0,0,126
001 / สนามบินดอนเมือง,ABB-001-2602/00034,1. DON004,Salmon Don(หน่วย),210,0,210,0,0,0,210
001 / สนามบินดอนเมือง,ABB-001-2602/00035,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00036,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00037,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00038,1. MINI009,Sushi Bento Super Maki S(หน่วย),200,0,200,0,0,0,420
,,2. MINI014,Sushi Moriawase Set(หน่วย),220,0,220,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00039,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),20,0,20,0,0,0,20
001 / สนามบินดอนเมือง,ABB-001-2602/00040,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00041,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00042,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00043,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00044,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),30,0,30,0,0,0,30
001 / สนามบินดอนเมือง,ABB-001-2602/00045,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00046,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00047,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00048,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00049,1. MINI007,Sushi Bento Veggie 1(หน่วย),175,0,175,0,0,0,175
001 / สนามบินดอนเมือง,ABB-001-2602/00050,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00051,1. MINI009,Sushi Bento Super Maki S(หน่วย),200,0,200,0,0,0,240
,,2. APP001,Chuka Wakame(หน่วย),40,0,40,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00052,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00053,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00054,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00055,1. DES002,Yuzu Daifuku(หน่วย),39,0,39,0,0,0,78
,,2. DES001,Rare Cheese Daifuku(หน่วย),39,0,39,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00056,1. MINI002,Salmon Aburi Sushi 7 pcs.(หน่วย),230,0,230,0,0,0,240
,,2. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00057,1. MED002,Sushi Bento Medium Set 2(หน่วย),420,0,420,0,0,0,680
,,2. DES004,Dorayaki(หน่วย),150,0,150,,,,
,,3. APP005,Tako Wasabi(หน่วย),110,0,110,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00058,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00059,1. MINI009,Sushi Bento Super Maki S(หน่วย),200,0,200,0,0,0,200
001 / สนามบินดอนเมือง,ABB-001-2602/00060,1. DON015,Salmon Teriyaki Don(หน่วย),250,0,250,0,0,0,250
001 / สนามบินดอนเมือง,ABB-001-2602/00061,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,40
