ชื่อสาขา,เลขที่เอกสาร,รายการขาย,จำนวน,ราคาต่อหน่วย,ส่วนลดรายการ,มูลค่าก่อนภาษี,ส่วนลด,ยอดขาย,ภาษี,ราคาสุทธิ
สนามบินดอนเมือง,ABB-001-2602/00008,2026-02-23 05:28,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00009,2026-02-23 05:32,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00010,2026-02-23 05:41,,,,,,,,
,,1. APP004/Kani Tataki (หน่วย),1,110,0,102.8,,,,
,,2. MINI009/Sushi Bento Super Maki S (หน่วย),1,200,0,186.92,,,,
,,,,,,289.72,0,289.72,20.28,310
สนามบินดอนเมือง,ABB-001-2602/00011,2026-02-23 05:43,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00012,2026-02-23 05:44,,,,,,,,
,,1. BEV007/ITOEN Elegant Jasmine Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,,,,,46.73,0,46.73,3.27,50
สนามบินดอนเมือง,ABB-001-2602/00013,2026-02-23 05:52,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00014,2026-02-23 05:54,,,,,,,,
,,1. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,205.61,0,205.61,14.39,220
สนามบินดอนเมือง,ABB-001-2602/00015,2026-02-23 05:56,,,,,,,,
,,1. MINI007/Sushi Bento Veggie 1 (หน่วย),1,175,0,163.55,,,,
,,,,,,163.55,0,163.55,11.45,175
สนามบินดอนเมือง,ABB-001-2602/00016,2026-02-23 06:04,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),3,10,0,28.04,,,,
,,,,,,28.04,0,28.04,1.96,30
สนามบินดอนเมือง,ABB-001-2602/00017,2026-02-23 06:08,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00018,2026-02-23 06:10,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00019,2026-02-23 06:15,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00020,2026-02-23 06:15,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00021,2026-02-23 06:18,,,,,,,,
,,1. MINI001/Salmon Sushi 7 pcs. (หน่วย),1,210,0,196.26,,,,
,,2. BEV007/ITOEN Elegant Jasmine Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,,,,,242.99,0,242.99,17.01,260
สนามบินดอนเมือง,ABB-001-2602/00022,2026-02-23 06:22,,,,,,,,
,,1. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,205.61,0,205.61,14.39,220
สนามบินดอนเมือง,ABB-001-2602/00023,2026-02-23 06:23,,,,,,,,
,,1. DON011/Chirashi Don (หน่วย),1,310,0,289.72,,,,
,,,,,,289.72,0,289.72,20.28,310
สนามบินดอนเมือง,ABB-001-2602/00024,2026-02-23 06:24,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00025,2026-02-23 06:25,,,,,,,,
